key,numeric_representation
১|এক|প্ৰথম|প্ৰথমিক|প্ৰথমা|প্ৰথমি|পৰা|ek|prothom|prathom|prothomik|prathama|prathami|pora,1
২|দুই|দ্বিতীয়|দ্বিতীয়া|দ্বিতীয়ি|dui|ditio|ditiyo|dutio|dutiya|dvitiya,2
৩|তিনি|তৃতীয়|তৃতীয়া|তৃতীয়ি|tini|tritiyo|tritiya,3
৪|চাৰি|চতুৰ্থ|চতুৰ্থা|চতুৰ্থি|chari|choturtho|choturtha|choturthi|chaturth,4
৫|পাঁচ|পঞ্চম|পঞ্চমা|পঞ্চমি|pach|pancham|panchma|panchmi,5
৬|ছয়|ষষ্ঠ|ষষ্ঠা|ষষ্ঠি|shoi|shashtho|shashtha|shashthi,6
৭|সাত|সপ্তম|সপ্তমা|সপ্তমি|sat|saptom|saptoma|saptomi,7
৮|আঠ|অষ্টম|অষ্টমা|অষ্টমি|atth|ashtom|ashtoma|ashtomi,8
৯|নয়|নবম|নবমা|নবমি|noy|nobom|noboma|nobomi,9
১০|দহ|দশম|দশমা|দশমি|doh|dashom|dashoma|dashomi,10
১১|এঘাৰ|এগাৰ|এগাৰমা|এগাৰি|eghar|egar|egarom|egaroma|egari,11
১২|বাৰ|বাৰমা|বাৰি|bar|barmo|barma|bari,12
১৩|তেৰ|তেৰমা|তেৰি|ter|termo|terma|teri,13
১৪|চৌদ্দ|চৌদ্দা|chaud|chauda|chaudma|chaudmaa|chaudi,14
১৫|পঞ্চদ্বার|পঞ্চদ্বারা|pach|pachdwar|pachdwaro|pachdwara|pachdwari|pachdwaari,15
১৬|ষোল|ষোলমা|ষোলি|shol|sholmo|sholma|sholi,16
১৭|সতৰা|সতৰি|sotora|sotori,17
১৮|অষ্ঠাৰাঁ|অষ্ঠাৰি|asthora|asthori,18
১৯|উনিশ|ৰিনাই|unish|urinai,19
২০|বিশ|bis|bish,20
২১|ইকুইশ|ইকোইশ|ইকোইশ|ikish|ikoish|ikois,21
২২|বাইশ|bai|baish,22
২৩|তেইশ|teish|teois,23
২৪|চব্বিশ|chabbish|chabis,24
২৫|পচিশ|pachish|pochish,25
২৬|ছাব্বিশ|chabbish|chabis,26
২৭|সাতাইশ|sataish|sataish,27
২৮|আঠাইশ|atthaish|atthais,28
২৯|ঊনত্রিশ|untreesh|utris,29
৩০|তিশ|tish|tis,30
৩১|একত্রিশ|ektresh|ektris,31
১.৫|ঢাই|dhai,1.5
২.৫|ঢাইতো|dhaito,2.5
