key,numeric_representation
୧|ଏକ|ପହିଲୀ|ପହଲା|ek|pahili|pahila|pahila,1
୨|ଦୁଇ|ଦ୍ୱିତୀୟ|ଦ୍ୱିତୀୟା|ଦ୍ୱିତୀୟୀ|dui|dwitiya|dwitiiya|dwitiiyi|dwitiiyee,2
୩|ତିନି|ତୃତୀୟ|ତୃତୀୟା|ତୃତୀୟୀ|tini|tritiya|tritiiya|tritiiyi|tritiiyee,3
୪|ଚାରି|ଚତୁର୍ଥ|ଚତୁର୍ଥା|ଚତୁର୍ଥୀ|ଚତୁର୍ଥି|chari|chaturtha|chaturthaa|chaturthi|chaturthii,4
୫|ପାଞ୍ଚ|ପଞ୍ଚମ|ପଞ୍ଚମା|ପଞ୍ଚମୀ|ପଞ୍ଚମି|paanch|panchama|panchamaa|panchami|panchami,5
୬|ଛୟ|ଷଷ୍ଠ|ଷଷ୍ଠା|ଷଷ୍ଠୀ|ଷଷ୍ଠି|chhaya|shashtha|shashthaa|shashthi|shashthii,6
୭|ସାତ|ସପ୍ତମ|ସପ୍ତମା|ସପ୍ତମୀ|ସପ୍ତମି|saata|saptama|saptamaa|saptami|saptami,7
୮|ଆଠ|ଅଷ୍ଟମ|ଅଷ୍ଟମା|ଅଷ୍ଟମୀ|ଅଷ୍ଟମି|aatha|ashtama|ashtamaa|ashtami|ashtami,8
୯|ନବ|ନବମ|ନବମା|ନବମୀ|ନବମି|naba|nobama|nobamaa|nobami|nobami,9
୧୦|ଦଶ|ଦଶମ|ଦଶମା|ଦଶମୀ|ଦଶମି|dasha|dashama|dashamaa|dashami|dashami,10
୧୧|ଏଗାର|ଏଗାରହ|ଏଗାରୀ|egaara|egaarah|egaari|egarhi|egaari,11
୧୨|ବାରହ|ବାରହମ|ବାରହୀ|baraha|baraham|barahi|barhi|barhi,12
୧୩|ତେରହ|ତେରହମ|ତେରହୀ|teraha|teraham|terahi|terhi|terhi,13
୧୪|ଚାଉଦା|ଚାଉଦହମ|chauda|chaudaham|chauda|chaudaham,14
୧୫|ପଣ୍ଡାର|ପଣ୍ଡରହମ|pandara|pandaraham|pandara|pandaraham,15
୧୬|ସୋଲା|ସୋଲହମ|sola|solaham|sola|solaham,16
୧୭|ସତର୍ହ|ସତରହମ|satarha|sataraham|satarha|sataraham,17
୧୮|ଅଠାରହ|ଅଠାରହମ|atharah|atharaham|atharah|atharaham,18
୧୯|ଉନିଶ|ଉନିଶମ|unisha|unisham|unisha|unisham,19
୨୦|ବିଶ|ବିଶମ|bish|bisham|bish|bisham,20
୨୧|ଇକ୍କିଶ|ଇକ୍କାଇଶ|ikish|ikkais|ikish|ikkais,21
୨୨|ବାଇଶ|ବାଇସମ|baish|baisham|baish|baisham,22
୨୩|ତେଇଶ|ତେଇସମ|teish|teisham|teish|teisham,23
୨୪|ଚୌବିଶ|ଚୌବିସମ|chaubisha|chaubisham|chaubisha|chaubisham,24
୨୫|ପଚ୍ଚିଶ|ପଚ୍ଚିସମ|pachchisha|pachchisham|pachchisha|pachchisham,25
୨୬|ଛବିଶ|ଛବ୍ବିସମ|chhabisha|chhabisham|chhabisha|chhabisham,26
୨୭|ସତ୍ତାଇଶ|ସତ୍ତାଇସମ|sattaisha|sattaisham|sattaisha|sattaisham,27
୨୮|ଅଠାଇଶ|ଅଠାଇସମ|athaisha|athaisham|athaisha|athaisham,28
୨୯|ଉନ୍ତିଶ|ଉନ୍ତିସମ|untisha|untisham|untisha|untisham,29
୩୦|ଟିଶ|ତିସମ|tisha|tisham|tisha|tisham,30
୩୧|ଇକ୍କଟିଶ|ଇକ୍କାତିଶ|ikkatisha|ikkaatisha|ikkatisha|ikkaatisha,31
୧.୫|ଢେଢ|ଢେଡ଼|ଢେଡ଼୍ଡ଼ି|ଢେଢ୍ଡ୍ଡ଼ି|ଡେଢ଼|ଡେଡ଼୍ଡ଼ି|dedh|dher|dhed,1.5
୨.୫|ଡ଼ାଢ଼ି|ଡ଼ାଢ଼ି|ଧାଢ଼ି|ଧାଇ|dhaai|dhaai|daai,2.5
