key,numeric_representation,date_type
ಇಂದು|indu,0,relative_date
ನಾಳೆ|naale,1,relative_date
ನಾಡಿದ್ದು|nadiiddu,2,relative_date
ನಾಲ್ಕುದಿನ|nalakudina,3,relative_date
ದಿನಾಂಕ|ದಿನಾಂಕ|dinaanka|dinaamka,NA,month_date_ref
ದಿನ|din|dino,NA,date_literal
ತಿಂಗಳು|ತಿಂಗಳು|ತಿಂಗಳು|ತಿಂಗಳು|months|month|tingalu|tingalu|tingalu|tingalu,NA,month_literal
ಸೋಮವಾರ|mond|monde|manade|monday|somvar|somwar,0,weekday
ಮಂಗಳವಾರ|ಟಿಯೂಸ್ಡೇ|ಟಿಯೂಸ್ಡೇ|ಟೂಸ್ಡೇ|tuesday|mangalvar|mangalwar,1,weekday
ಬುಧವಾರ|ವೆಡನೆಸ್ಡೇ|ವೆನ್ಸ್ಡೇ|ವೆಂಸ್ಡೇ|ವೆನಸ್ಡೇ|ವೆಡ್ನಸ್ಡೇ|wednesday|budhvar|budhwar,2,weekday
ಗುರುವಾರ|ಬೃಹಸ್ಪತಿವಾರ|ಗುರವಾರ|ಥರ್ಸಡೇ|ಥರ್ಸ್ಡೇ|thursday|guruvar|guruwar|guroovaar|guroowar|guroovar|brihaspativar|brihaspatiwar,3,weekday
ಶುಕ್ರವಾರ|ಶುಕ್ರವಾರ|ಶುಕರವಾರ|ಫ್ರೈಡೇ|ಫ್ರೈಡೇ|friday|shukravar|shukrawar|sukravar|sukrawar,4,weekday
ಶನಿವಾರ|ಸೈಟರ್ಡೇ|ಸೈಟರ್ಡೇ|ಸಟರ್ಡೇ|ಸೆಟರ್ಡೇ|ಸೆಟರ್ಡೇ|ಶನಿವಾರ|saturday|shanivar|shaniwar|saniwar|sanivar,5,weekday
ರವಿವಾರ|ರವಿವಾರ|ಸಂಡೇ|ಸನ್ಡೇ|sunday|ravivar|raviwar,6,weekday
ಜನವರಿ|ಜನ|ಜೈನ|ಜನವರಿ|ಜೈನುಅರಿ|ಜೇನುಅರಿ|ಜಾನುಅರಿ|ಜನುವಾರಿ|january|jan,1,month
ಫೆಬ್ರವರಿ|ಫರವರಿ|ಫೆಬ್|ಫೈಬ|ಫ಼ರ್|ಫ಼ರ|ಫ಼ರವರಿ|february|feb|febuary,2,month
ಮಾರ್ಚ್|ಮಾರ್ಚ್|ಮಾಚ್|march|mar,3,month
ಎಪ್ರಿಲ್|ಎಪ್ರಿ.|ಎಪ್ರಿ|ಏಪ್ರಿಲ್|ಎಪ್ರಿಲ್|april|apr,4,month
ಮೇ|ಮೇ.|ಮೇ.|ಮೇಂ.|ಮೇ|ಮೇಂ|ಮೈ|ಮೇಂ|may,5,month
ಜೂನ್|ಜೂನ್.|june|jun,6,month
ಜುಲೈ|ಜುಲ್.|ಜುಲ್|ಜುಲೈ|july|jul,7,month
ಆಗಸ್ಟ್|ಆಗ್.|ಆಗ್|಑ಗ್.|಑ಗ್|಑ಗಸ್ಟ್|಑ಗಸ್ಟ್|ಆಗಸ್ಟ್|august|aug,8,month
ಸೆಪ್ಟೆಂಬರ್|ಸೆಪ್ಟ್.|ಸೆಪ್ಟ್|ಸೆಪ್ಟೆಂಬರ್|ಸೆಪ್ಟೈಂಬರ್|ಸೆಪ್ಟೆಂಬರ್|september|sept|sep,9,month
ಅಕ್ಟೋಬರ್|ಅಕ್ಟೋ.|ಅಕ್ಟೋ|ಓಕ್ಟೋಬರ್|ಆಕ್ಟೋಬರ್|ಔಕ್ಟೋಬರ್|ಔಕ್ಟ್|ಓಕ್ಟ್|october|oct,10,month
ನವೆಂಬರ್|ನವ್.|ನವ್|ನವೆಂಬರ್|ನೊವೆಂಬರ್|ನವೆಂಬರ್|ನೊವ್|november|nov,11,month
ಡಿಸೆಂಬರ್|ಡಿಸ್.|ಡಿಸ್|ಡಿಸೆಂಬರ್|ಡಿಸ್ಬ್ರ್|ಡಿಸೆಂಬರ್|ಡಿಸೆಂಬರ್|december|dec,12,month
