key,numeric_representation
೧|ಒಂದು|ಪ್ರಥಮ|ಪ್ರಥಮ|ek|prathama|prathama|pahla|pahla,1
೨|ಎರಡು|ಎರಡನೇ|ಎರಡು|eradu|eradane|eradu|eradu|eradu,2
೩|ಮೂರು|ಮೂರನೇ|ಮೂರು|mooru|moorane|mooru|mooru|mooru,3
೪|ನಾಲ್ಕು|ನಾಲ್ಕನೇ|ನಾಲ್ಕು|naalku|naalkane|naalku|naalku|naalku,4
೫|ಐದು|ಐದನೇ|ಐದು|aidu|aidane|aidu|aidu|aidu,5
೬|ಆರು|ಆರನೇ|ಆರು|aaru|aaranne|aaru|aaru|aaru,6
೭|ಏಳು|ಏಳನೇ|ಏಳು|elu|elanne|elu|elu|elu,7
೮|ಎಂಟು|ಎಂಟನೇ|ಎಂಟು|entu|entane|entu|entu|entu,8
೯|ಒಂಬತ್ತು|ಒಂಬತ್ತನೇ|ಒಂಬತ್ತು|ombattu|ombattane|ombattu|ombattu|ombattu,9
೧೦|ಹತ್ತು|ಹತ್ತನೇ|ಹತ್ತು|hattu|hattane|hattu|hattu|hattu,10
೧೧|ಹನ್ನೊಂದು|ಹನ್ನೊಂದನೇ|ಹನ್ನೊಂದು|hannu ondu|hannu ondanee|hannu ondu|hannu ondu|hannu ondu,11
೧೨|ಹನ್ನೆರಡು|ಹನ್ನೆರಡನೇ|ಹನ್ನೆರಡು|hanneradu|hanneradane|hanneradu|hanneradu|hanneradu,12
೧೩|ಹದಿಮೂರು|ಹದಿಮೂರನೇ|ಹದಿಮೂರು|hadimooru|hadimoorane|hadimooru|hadimooru|hadimooru,13
೧೪|ಹದಿನಾಲ್ಕು|ಹದಿನಾಲ್ಕನೇ|ಹದಿನಾಲ್ಕು|hadinaalku|hadinaalkane|hadinaalku|hadinaalku|hadinaalku,14
೧೫|ಹದಿಮೂರು|ಹದಿನಾಲ್ಕು|ಹದಿಮೂರನೇ|ಹದಿನಾಲ್ಕನೇ|ಹದಿಮೂರು|hadimooru|hadinaalku|hadimooru|hadimooru|hadimooru,15
೧೬|ಹದಿನಾಲ್ಕು|ಹದಿಮೂರು|ಹದಿನಾಲ್ಕನೇ|ಹದಿಮೂರು|ಹದಿಮೂರನೇ|hadinaalku|hadimooru|hadinaalkane|hadimooru|hadinaalku|hadimooru,16
