key,numeric_representation,date_type
ഇന്ന്|innu,0,relative_date
നാളെ|naale,1,relative_date
നടന്നു|nadiiddu,2,relative_date
നാല് ദിവസം|nalakudina,3,relative_date
തീയതി|dinaanka|dinaamka,NA,month_date_ref
ദിവസം|din|dino,NA,date_literal
മാസം|māsam|māsam|māsam|māsam,NA,month_literal
തിങ്കള്|തിങ്കള്|തിങ്കള്|തിങ്കള്|മാസം|month|tingalu|tingalu|tingalu|tingalu,NA,month_literal
സോമവാരം|mond|monde|manade|monday|somvar|somwar,0,weekday
മംഗൽവാരം|ടിയൂസ്|ടിയൂസ്|ടൂസ്|tuesday|mangalvar|mangalwar,1,weekday
ബുധവാരം|വെഡനെസ്|വെൻസ്|വെൻസ്|വെൻസ്|വെഡ്നസ്|wednesday|budhvar|budhwar,2,weekday
ഗുരുവാരം|ബൃഹസ്പതിവാരം|ഗുരുവാരം|ഥര്സഡേ|ഥര്സ്ഡേ|thursday|guruvar|guruwar|guroovaar|guroowar|guroovar|brihaspativar|brihaspatiwar,3,weekday
ശുക്രവാരം|ശുക്രവാരം|ശുക്രവാരം|ഫ്രൈഡേ|ഫ്രൈഡേ|friday|shukravar|shukrawar|sukravar|sukrawar,4,weekday
ശനിവാരം|സൈടർഡേ|സൈടർഡേ|സടർഡേ|സെടർഡേ|സെടർഡേ|ശനിവാരം|saturday|shanivar|shaniwar|saniwar|sanivar,5,weekday
ഞായറാഴ്‌ച|ഞായറാഴ്‌ച|സംഡേ|സന്ഡേ|sunday|ravivar|raviwar,6,weekday
ജനുവരി|ജനുവരി|ജൈന|ജനുവരി|ജൈനുഅരി|ജേനുഅരി|ജാനുഅരി|ജനുവാരി|january|jan,1,month
ഫെബ്രുവരി|ഫെബ്രവരി|ഫെബ്|ഫൈബ്|ഫ഼ര്ബ്|ഫ഼ര്ബ്|ഫ഼രവരി|february|feb|febuary,2,month
മാർച്ച്|മാർച്ച്|മാച്ച്|march|mar,3,month
ഏപ്രിൽ|ഏപ്രി.|ഏപ്രി|ഏപ്രിൽ|ഏപ്രിൽ|april|apr,4,month
മേയ്|മേ.|മേ.|മേം.|മേ|മേം|മൈ|മേം|may,5,month
ജൂൺ|ജൂൺ.|june|jun,6,month
ജൂലൈ|ജൂൽ.|ജൂൽ|ജൂലൈ|july|jul,7,month
ആഗസ്റ്റ്|ആഗ്സ്.|ആഗ്സ്|ഓഗ്സ്.|ഓഗ്സ്|ഓഗസ്റ്റ്|ഓഗസ്റ്റ്|ആഗസ്റ്റ്|august|aug,8,month
സെപ്റ്റംബർ|സെപ്റ്റ്.|സെപ്റ്റ്|സെപ്റ്റംബർ|സെപ്റ്റൈംബർ|സെപ്റ്റംബർ|september|sept|sep,9,month
ഒക്ടോബർ|ഒക്ടോ.|ഒക്ടോ|ഓക്ടോബർ|ആക്ടോബർ|ഔക്ടോബർ|ഔക്ട്|ഓക്ട്|october|oct,10,month
നവംബർ|നവ്ബർ.|നവ്ബർ|നവംബർ|നൊവംബർ|നവംബർ|നൊവ്|november|nov,11,month
ഡിസംബർ|ഡിസ്.|ഡിസ്|ഡിസംബർ|ഡിസ്ബ്ര്|ഡിസംബർ|ഡിസംബർ|december|dec,12,month
