key,numeric_representation
൧|ഒന്ന്|ആദ്യം|പ്രഥമം|പഹലാ|പഹല|പ്രഥമ|പ്രഥമം|പ്രഥമം|പ്രഥമം,1
൨|രണ്ട്|രണ്ടാം|രണ്ട്|രണ്ഡ്|രണ്ഡ|രണ്ഡ|രണ്ഡ്|രണ്ഡ്|രണ്ഡ്|രണ്ഡ്,2
൩|മൂന്ന്|മൂന്നാം|മൂന്ന്|മോറു|മോറു|മോറു|മോറു|മോറു|മോറു,3
൪|നാല്‌ക്|നാല്‌കാം|നാല്‌ക്|നാല്കു|നാല്ക്|നാല്ക്|നാല്ക്|നാല്ക്|നാല്ക്,4
൫|അഞ്ച്|അഞ്ചാം|അഞ്ച്|അയ്ദു|അയ്ദ്|അഞ്ച്|അഞ്ച്|അഞ്ച്|അഞ്ച്,5
൬|ആറ്|ആറാം|ആറ്|ആറു|ആറു|ആറ്|ആറ്|ആറ്|ആറ്,6
൭|ഏഴ്|ഏഴാം|ഏഴ്|ഏള്|ഏള്|ഏഴ്|ഏഴ്|ഏഴ്|ഏഴ്,7
൮|എട്ട്|എട്ടാം|എട്ട്|എന്ന്റു|എന്റു|എന്റു|എന്റു|എന്റു|എന്റു,8
൯|ഒമ്പത്|ഒമ്പതാം|ഒമ്പത്|ഒമ്പത്|ഒമ്പത്|ഒമ്പത്|ഒമ്പത്|ഒമ്പത്|ഒമ്പത്,9
൧൦|പത്ത്|പത്താം|പത്ത്|പത്തു|പത്ത്|പത്ത്|പത്ത്|പത്ത്|പത്ത്,10
൧൧|പന്നൊന്ദ്|പന്നൊന്ദാം|പന്നൊന്ദ്|ഹന്നു ഒന്ദ്|ഹന്നു ഒന്ദാം|ഹന്നു ഒന്ദ്|ഹന്നു ഒന്ദ്|ഹന്നു ഒന്ദ്|ഹന്നു ഒന്ദ്,11
൧൨|ഹന്നെരട്|ഹന്നെരടാം|ഹന്നെരട്|ഹന്നെരടു|ഹന്നെരട്|ഹന്നെരട്|ഹന്നെരട്|ഹന്നെരട്|ഹന്നെരട്,12
൧൩|പതിമൂന്ന്|പതിമൂന്നാം|പതിമൂന്ന്|ഹദിമൂരു|ഹദിമൂരു|ഹദിമൂരു|ഹദിമൂരു|ഹദിമൂരു|ഹദിമൂരു,13
൧൪|പതിനാല്‌ക്|പതിനാല്‌കാം|പതിനാല്‌ക്|ഹദിനാല്കു|ഹദിനാല്ക്|ഹദിനാല്ക്|ഹദിനാല്ക്|ഹദിനാല്ക്|ഹദിനാല്ക്,14
൧൫|പതിമൂന്ന്|പതിനാല്‌ക്|പതിമൂന്നാം|ഹദിനാല്ക്ക്|ഹദിനാല്ക്|ഹദിനാല്ക്|ഹദിനാല്ക്ക്|ഹദിനാല്ക്ക്|ഹദിനാല്ക്ക്|ഹദിനാല്ക്ക്,15
൧൬|പതിനാല്‌ക്|പതിമൂന്ന്|ഹദിനാല്ക്|ഹദിമൂരു|ഹദിനാല്ക്ക്|ഹദിനാല്ക്|ഹദിമൂരു|ഹദിനാല്ക്ക്|ഹദിമൂരു|ഹദിനാല്ക്ക്|ഹദിമൂരു,16
൧൭|പതിമൂന്ന്|പതിനാല്‌ക്|ഹദിനാല്ക്|ഹദിമൂരു|ഹദിനാല്ക്ക്|ഹദിമൂരു|ഹദിനാല്ക്|ഹദിനാല്ക്ക്|ഹദിനാല്ക്ക്|ഹദിമൂരു|ഹദിനാല്ക്ക്,17
൧൮|പതിമൂന്ന്|പതിനാല്‌ക്|ഹദിനാല്ക്|ഹദിമൂരു|ഹദിനാല്ക്ക്|ഹദിമൂരു|ഹദിനാല്ക്|ഹദിനാല്ക്ക്|ഹദിനാല്ക്ക്|ഹദിമൂരു|ഹദിനാല്ക്ക്,18
൧൯|ഇരുപത്|ഇരുപതാം|ഇരുപത്|ഇരുപതു|ഇരുപത്|ഇരുപത്|ഇരുപത്|ഇരുപത്|ഇരുപത്,19
൨൦|ഇരുപത്|ഇരുപതാം|ഇരുപത്|ഇരുപത്തു|ഇരുപത്|ഇരുപത്|ഇരുപത്|ഇരുപത്|ഇരുപത്,20
൨൧|ഇരുപത് ഒന്നു|ഇരുപതാം ഒന്നു|ഇരുപത് ഒന്ന്|ഇരുപത്തു ഒന്നു|ഇരുപത്തു ഒന്ന്|ഇരുപത്തു ഒന്നു|ഇരുപത്തു ഒന്നു|ഇരുപത്തു ഒന്നു|ഇരുപത്തു ഒന്നു|ഇരുപത്തു ഒന്നു,21
൨൨|ഇരുപത് രണ്ട്|ഇരുപതാം രണ്ട്|ഇരുപത് രണ്ടാം|ഇരുപത്തു രണ്ടു|ഇരുപത്തു രണ്ട്|ഇരുപത്തു രണ്ടു|ഇരുപത്തു രണ്ടു|ഇരുപത്തു രണ്ടു|ഇരുപത്തു രണ്ടു|ഇരുപത്തു രണ്ടു,22
൨൩|ഇരുപത് മൂന്ന്|ഇരുപതാം മൂന്ന്|ഇരുപത് മൂന്നാം|ഇരുപത്തു മൂന്നു|ഇരുപത്തു മൂന്ന്|ഇരുപത്തു മൂന്നു|ഇരുപത്തു മൂന്നു|ഇരുപത്തു മൂന്നു|ഇരുപത്തു മൂന്നു|ഇരുപത്തു മൂന്നു,23
൨൪|ഇരുപത് നാല്‌ക്|ഇരുപതാം നാല്‌കാം|ഇരുപത് നാല്‌ക്|ഇരുപത്തു നാല്‌കു|ഇരുപത്തു നാല്ക്|ഇരുപത്തു നാല്ക്|ഇരുപത്തു നാല്‌ക്|ഇരുപത്തു നാല്‌ക്|ഇരുപത്തു നാല്‌ക്|ഇരുപത്തു നാല്‌ക്,24
൨൫|ഇരുപത് അഞ്ച്|ഇരുപതാം അഞ്ച്|ഇരുപത് അഞ്ചാം|ഇരുപത്തു അഞ്ചു|ഇരുപത്തു അഞ്ച്|ഇരുപത്തു അഞ്ചു|ഇരുപത്തു അഞ്ചു|ഇരുപത്തു അഞ്ച്|ഇരുപത്തു അഞ്ചു|ഇരുപത്തു അഞ്ചു,25
൨൬|ഇരുപത് ആറ്|ഇരുപതാം ആറ്|ഇരുപത് ആറാം|ഇരുപത്തു ആറു|ഇരുപത്തു ആറ്|ഇരുപത്തു ആറു|ഇരുപത്തു ആറു|ഇരുപത്തു ആറ്|ഇരുപത്തു ആറു|ഇരുപത്തു ആറു,26
൨൭|ഇരുപത് ഏഴ്|ഇരുപതാം ഏഴ്|ഇരുപത് ഏഴാം|ഇരുപത്തു ഏഴ്|ഇരുപത്തു ഏഴ്|ഇരുപത്തു ഏഴ്|ഇരുപത്തു ഏഴ്|ഇരുപത്തു ഏഴ്|ഇരുപത്തു ഏഴ്|ഇരുപത്തു ഏഴ്,27
൨൮|ഇരുപത് എട്ട്|ഇരുപതാം എട്ട്|ഇരുപത് എട്ടാം|ഇരുപത്തു എട്ട്|ഇരുപത്തു എട്ട്|ഇരുപത്തു എട്ട്|ഇരുപത്തു എട്ട്|ഇരുപത്തു എട്ട്|ഇരുപത്തു എട്ട്|ഇരുപത്തു എട്ട്,28
൨൯|ഇരുപത് ഒന്നുപത്ത്|ഇരുപതാം ഒന്നുപത്ത്|ഇരുപത് ഒന്നുപത്താം|ഇരുപത്തു ഒന്നുപത്ത്|ഇരുപത്തു ഒന്നുപത്ത്|ഇരുപത്തു ഒന്നുപത്ത്|ഇരുപത്തു ഒന്നുപത്ത്|ഇരുപത്തു ഒന്നുപത്ത്|ഇരുപത്തു ഒന്നുപത്ത്|ഇരുപത്തു ഒന്നുപത്ത്,29
