key,numeric_representation,date_type
ଆଜ|ଆଜ,0,relative_date
କାଳ|କଳ,1,relative_date
ପର୍ଷମଣି|ପର୍ଷ|ପର୍ଷମଣି,2,relative_date
ନର୍ଷମଣି|ନର୍ସ|ନର୍ଷମଣି,3,relative_date
ତାରୀଖ|ତାରିଖ|ତରିଖ,NA,month_date_ref
ଦିନ|ଦିନୋଂ|ଦିନୋ,NA,date_literal
ମାସ|ମାସରେ|ମାସମାସ|ମାସମାସରେ|ମାସମାସର,NA,month_literal
ସୋମବାର|ମଣ୍ଡେ|ମୋଣ୍ଡେ|ମଣ୍ଡ|ମଣ୍ଡେ,0,weekday
ମଙ୍ଗଳବାର|ଟ୍ୟୁସଡେ|ଟ୍ୟୁସ୍ଡେ|ଟୁସ୍ଡେ,1,weekday
ବୁଧବାର|ଭେଡନେଷ୍ଡେ|ଭେଣସ୍ଡେ|ଭେଣ୍ସଡେ,2,weekday
ଗୁରୁବାର|ବୃହସ୍ପତିବାର|ଗୁରବାର|ଥରସ୍ଡେ|ଥର୍ସ୍ଡେ,3,weekday
ଶୁକ୍ରବାର|ଶୁକ୍ରବାର|ଶୁକରବାର|ଫ୍ରାଇଡେ|ଫ୍ରାଇଡେ,4,weekday
ଶନିବାର|ସେଟରଡେ|ସେଟଡେ|ସଟରଡେ|ସେଟଡେ,5,weekday
ରବିବାର|ରବୀବାର|ସଣ୍ଡେ|ସନ୍ଡେ,6,weekday
ଜାନୁଆରୀ|ଜାନୁଆରି|ଜନୁଆରୀ|ଜାନୁରୀ,1,month
ଫେବ୍ରୁଆରୀ|ଫରବରୀ|ଫେବ୍|ଫାର୍|ଫର୍,2,month
ମାର୍ଚ୍|ମାର୍ଚ୍|ମାର୍|ମାର୍,3,month
ଅପ୍ରେଲ|ଅପ୍ରେ|ଅପ୍ରିଲ|ଏପ୍ରିଲ|ଅପ୍ରିଲ,4,month
ମଇ|ମଇ|ମେ|ମେ|ମେ,5,month
ଜୁନ|ଜୁନ,6,month
ଜୁଲାଇ|ଜୁଲାଇ|ଜୁଲ|ଜୁଲାଇ,7,month
ଅଗଷ୍ଟ|ଅଗସ୍ଟ|ଅଗ|ଅଗ|ଅଗସ୍ଟ|ଅଗଷ୍ଟ|ଅଗଷ୍ଟ,8,month
ସେପ୍ଟେମ୍ବର|ସେପ୍ଟେମ୍ବର|ସେପ୍ଟ|ସେପ୍ଟେମ୍ବର,9,month
ଅକ୍ଟୋବର|ଅକ୍ଟୋବର|ଅକ୍ଟୁବର|ଓକ୍ଟୋବର|ଔକ୍ଟୋବର|ଔକ୍ଟ|ଓକ୍ଟ,10,month
ନଭେମ୍ବର|ନଭେମ୍ବର|ନଭମ୍ବର|ନୋଭେମ୍ବର|ନଭମ୍ବର|ନୋଭ୍ମବର|ନୋଭ,11,month
ଡିସେମ୍ବର|ଡିସେ
