key,numeric_representation
୧|ଏକ|ପହଲୀ|ପହଲା|ek|pahli|pehli|pehla|pahla,1
୨|ଦୁଇ|ଦ୍ୱିତୀୟ|ଦ୍ୱିତୀୟୀ|ଦୁତ୍ୱିତୀୟ|ଦ୍ୱିତୀୟୀ|do|doosra|dusra|doosri|dusri|doosre|dusre,2
୩|ତିନି|ତୃତୀୟ|ତୃତୀୟୀ|ତୃତୀୟ୍|ତିନି|teen|teesra|tisra|teesre|tisre|teesri|tisri,3
୪|ଚାର୍|ଚାର୍ଥୀ|ଚାର୍ଥ|ଚାର୍ଥେ|char|chauthi|chautha|choutha|chouthi|chauthe|chouthe,4
୫|ପଞ୍ଚ|ପଞ୍ଚମୀ|ପଞ୍ଚମୀୟ୍|ପାଞ୍ଚ୍ୱୀୟ୍|ପାଁଞ୍ଚ୍ୱୀୟ୍|ପାଞ୍ଚ୍ଭୀଂ|ପାଞ୍ଚଭୀଂ|ପାଞ୍ଚମ୍ବା|ପାଞ୍ଚ୍ବା|ପାଞ୍ଚ୍ବ୍ୱା|ପାଞ୍ଚ୍ୱେ|ପାଞ୍ଚ୍ଭେ|ପାଞ୍ଚମ୍ଭା|ପାଞ୍ଚମ୍ଭେ|paanch|panch|paanchvi|panchvi|paanchve|panchve|paanchva|panchva,5
୬|ଛୟ୍|ଛହ|ଛଟ୍ଠାବୀଂ|ଛଠବୀୟ୍|ଛଠବୀୟ୍ଂ|ଛଟ୍ଠା|ଛଠବା|ଛଠବାଁ|ଛଟ୍ଠାଇ|ଛଟ୍ଠ୍ୟା|ଛଟ୍ଠାବ୍ବା|ଛଠବା|ଛଠବ୍ବା|ଛଟ୍ଠ୍ୟେ|ଛଟ୍ଠାଇ|ଛଠବ୍ବେ|ଛଠବା|ଛଠବ୍ବେ|chhe|chhah|chhatvi|chhatva|chhatve|chhata|chhathvi|chhathva|chhathve|chhatha,6
୭|ସାତ|ସାତ୍ବା|ସାତ୍ଭେ|ସାତ୍ଭେଂ|ସାତ୍ଭାଇ|ସାତ୍ଭେନ୍|ସାତ୍ଭୀଂ|ସାତ୍ଭୀ|saat|saatva|satva|saatve|satve|saatvi|satvi,7
୮|ଆଠ|ଆଠ୍ଵୀଂ|ଆଠ୍ବୀ|ଆଠ୍ବା|ଆଠ୍ବାଂ|ଆଠ୍ବାଁ|ଆଠ୍ବେ|ଆଠ୍ବେଂ|aath|aathvi|aathva|aathve,8
୯|ନଆଁ|ନବ|ନାଁ|ନଆଁ|ନାଁ|ନୌଁ|ନାଁ|ନାଁ|ନାଁ|ନୌଁବୀଂ|ନୌଁବୀ|nau|nauva|nauve|nahla|nehla|naumi|nauvi,9
୧୦|ଦସ|ଦସ୍ୱୀଂ|ଦସ୍ୱୀ|ଦସ୍ୱା|ଦସ୍ୱାଂ|ଦସ୍ୱାଁ|ଦସ୍ୱେ|ଦସ୍ୱେଂ|dus|das|dasvi|dusvi|dasve|dusve|dasva|dusva,10
୧୧|ଏଗାର|ଏଗାରା|ଏଗାରାଂ|ଏଗାର୍ବା|ଏଗାରି|ଏଗାରାଂ|ଏଗାର୍ବାଂ|ଏଗାର୍ବେଂ|gyarah|gyarva|gyarvi,11
୧୨|ବାରହା|ବାରବା|ବାରବାଂ|ବାରବୀ|ବାରବୀଂ|ବାରହବୀଂ|ବାରହବୀ|barah|barvan|barva|barvi|bareh,12
୧୩|ତେରାହା|ତେରହବୀ|ତେରହବୀଂ|terah|teravi|terahvi,13
୧୪|ଚୌଦା|ଚୌଦହ୍|chaudah|chauda,14
୧୫|ପନ୍ଦରା|ପନ୍ଦ୍ରହ୍|pandrah|pandra,15
୧୬|ସୋଲା|ସୋଲହ୍|solah|sola|sholah|shola,16
୧୭|ସତାରା|ସତ୍ରା|satrah|satra,17
୧୮|ଅଟାରା|ଅଠାରା|ଅଟାରା|atharah|athara|atarah|atara,18
୧୯|ଉନ୍ନିଶ|ଉନିଶ୍|unish,19
୨୦|ବିଶ୍|ବିଶ୍ୱାରେ|ବିଶ୍ବା|ବିଶ୍ବାଂ|ବିଶ୍ୱ|ବିଶ୍ୱେ|ବିଶ୍ୱେଂ|bees|beesh|bish|bis,20
୨୧|ଇକ୍କିଶ୍|ଇକ୍କିଶ୍|ଇକ୍କିଶ୍|ଇକ୍କିଶ୍|ଏକିଶ୍|ଏକିଶ୍|ikkish|ikkis|ekish|ekis,21
୨୨|ବାଇଶ୍|ବାଇସ୍|ବାଇଶ୍|ବାଇସ୍|ବାଇସ୍ବ୍|ବାଇସ୍|ବାଇସ୍|ବାଇସ୍|baaish|baish|baaesh|baaes,22
୨୩|ତେଇଶ୍|ତେଇଶ୍|ତାଇଶ୍|ତେଇଶ୍|ତେଇଶ୍|ତେଇଶ୍|ତେଇଶ୍|ତେଇଶ୍|ତେଇଶ୍|teish|taish,23
୨୪|ଚୌବୀସ୍|ଚୌବିଶ୍|ଚୌବେଶ୍|ଚୌବିଶ୍|ଚୌବେଶ୍|ଚୌବୀଶ୍|ଚୌବୀଶ୍|chaubis|choubis|chaubish|choubish|chaubeesh|chaubees,24
୨୫|ପଚ୍ଚିଶ୍|ପଚ୍ଚିଶ୍|ପଚ୍ଚିଶ୍|ପଚ୍ଚୀଶ୍|ପଚ୍ଚିଶ୍|ପଚ୍ଚିଶ୍|pachchish|pachish|pachis|pachchis|pachhis|pachhish,25
୨୬|ଛବିଶ୍|ଛବ୍ବିଶ୍|ଛବିଶ୍|ଛବ୍ବେଶ୍|ଛବିଶ୍|ଛବିଶ୍|ଛବ୍ବେଶ୍|ଛବିଶ୍|chhabish|chhabis|chhabeesh|chhabees,26
୨୭|ସତ୍ତାଇଶ୍|ସତ୍ତାଇଶ୍|ସତ୍ତାଇଶ୍|ସତ୍ତାଇଶ୍|ସତ୍ତେଶ୍|sattaish|sataish|satais,27
୨୮|ଅଟାଇଶ୍|ଅଟାଇଶ୍|atthaish|athaish|athais|atthais,28
୨୯|ଉନ୍ତିଶ୍|ଉନ୍ତୀଶ୍|ଉନ୍ତୀସ୍|ଉନ୍ତୀଶ୍|ଉନ୍ତ୍ରେଶ୍|untish|unteesh|untis|untees,29
୩୦|ଟୀଶ୍|ତୀସ୍|ତୀଶ୍|ତୀଶ୍|tees|treesh,30
୩୧|ଇକ୍କାତୀଶ୍|ଇକ୍କାତିଶ୍|ଇକ୍କାତିଷ୍|ଇକ୍କାତିଶ୍|ଇକ୍କାତିଷ୍|ଇକ୍କାଟିଶ୍|ikattish|ekkatish|ikatish|ikatis|ekatis,31
୧.୫|ଢେଢ଼|ଢେଡ୍|ଢ଼େଡ୍|ଧେଢ଼|ଡେଡ୍|ଡେଢ଼୍|ଡେଢ଼୍|dedh|dhed,1.5
୨.୫|ଢାଇ|ଢ଼ାଇ|ଧାଇ|ଧାଇ|dhaai|daai,2.5
