key,numeric_representation,date_type
ਅੱਜ|ajj,0,relative_date
ਕੱਲ੍ਹ|kal,1,relative_date
ਪਰਸੋਂ|ਪਰਸੋ|parson|parso,2,relative_date
ਨਰਸੋਂ|ਨਰਸੋ|narson|narso,3,relative_date
ਤਾਰੀਖ|ਤਾਰੀਖ|tareekh|tarikh,NA,month_date_ref
ਦਿਨ|ਦਿਨਾਂ|din|dinaan,NA,date_literal
ਮਹੀਨਾ|ਮਹੀਨੇ|ਮਹੀਨਿਆਂ|ਮਹੀਨੇ|ਮਹੀਨੇ|ਮਹੀਨਿਆਂ|months|month|mahina|mahine|mahineaan|mahina,NA,month_literal
ਸੋਮਵਾਰ|ਮੰਡੇ|ਮੰਡੀ|ਮੰਡੀ|monday|somvaar|somvar,0,weekday
ਮੰਗਲਵਾਰ|ਟਿਊਸਡੇ|ਟਿਊਸਡੇ|ਟੂਸਡੇ|tuesday|mangalvaar|mangalvar,1,weekday
ਬੁਧਵਾਰ|ਵੈਡਨਸਡੇ|ਵੈਨਸਡੇ|ਵੈਨਸਡੇ|ਵੈਨਸਡੇ|ਵੈਡਨਸਡੇ|wednesday|budhvaar|budhvar,2,weekday
ਵੀਰਵਾਰ|ਬ੍ਰਿਹਸਪਤਿਵਾਰ|ਗੁਰਵਾਰ|ਥਰਸਡੇ|ਥਰਸਡੇ|thursday|veerwaar|guruvar|guroovaar|guroowar|guroovar|brihaspativar|brihaspatiwar,3,weekday
ਸ਼ੁੱਕਰਵਾਰ|ਸ਼ੁਕਰਵਾਰ|ਸ਼ੁਕਰਵਾਰ|ਫ੍ਰਾਈਡੇ|ਫ੍ਰਾਈਡੇ|friday|shukravaar|shukravar|sukravaar|sukravar,4,weekday
ਸ਼ਨੀਚਰਵਾਰ|ਸੈਟਰਡੇ|ਸੈਟਰਡੇ|ਸੈਟਰਡੇ|ਸੈਟਰਡੇ|ਸੈਟਰਡੇ|saturday|shanicharvaar|shanivar|sanicharvaar|sanivar,5,weekday
ਐਤਵਾਰ|ਐਤਵਾਰ|ਸੰਡੀ|ਸੰਡੀ|sunday|aitvaar|ravivar,6,weekday
ਜਨਵਰੀ|ਜਨ|ਜੈਨ|ਜਨਵਰੀ|ਜੈਨੂਅਰੀ|ਜੈਨੂਅਰੀ|ਜਨੂਅਰੀ|january|jan,1,month
ਫਰਵਰੀ|ਫਰਵਰੀ|ਫੈਬ|ਫੈਬ|ਫਰਵਰੀ|ਫਰ|ਫਰਵਰੀ|february|feb|febuary,2,month
ਮਾਰਚ|ਮਾਰਚ|ਮਾਰਚ|march|mar,3,month
ਅਪ੍ਰੈਲ|ਅਪ੍ਰੈ|ਅਪ੍ਰੈ|ਅਪ੍ਰੈਲ|ਅਪ੍ਰੈਲ|april|apr,4,month
ਮਈ|ਮਈ|ਮਈ|ਮਈ|ਮਈ|ਮਈ|may,5,month
ਜੂਨ|ਜੂਨ|june|jun,6,month
ਜੁਲਾਈ|ਜੁਲ|ਜੁਲ|ਜੁਲਾਈ|july|jul,7,month
ਅਗਸਤ|ਅਗ|ਅਗ|ਅਗਸਤ|ਅਗਸਤ|ਅਗਸਤ|august|aug,8,month
ਸਤੰਬਰ|ਸਤੰਬਰ|ਸਤੰਬਰ|ਸੈਪਟੈਂਬਰ|ਸਤੰਬਰ|ਸੈਪਟੈਂਬਰ|september|sept|sep,9,month
ਅਕਤੂਬਰ|ਅਕਤੂ|ਅਕਤੂ|ਅਕਤੂਬਰ|ਅਕਤੂਬਰ|ਅਕਤੂਬਰ|october|oct,10,month
ਨਵੰਬਰ|ਨਵੰਬਰ|ਨਵ|ਨਵੰਬਰ|ਨਵੰਬਰ|ਨਵੰਬਰ|november|nov,11,month
ਦਸੰਬਰ|ਦਸੰਬਰ|ਦਸ|ਦਸੰਬਰ|ਦਸੰਬਰ|ਦਸੰਬਰ|december|dec,12,month
