key,numeric_representation
੧|ਇਕ|ਪਹਿਲੀ|ਪਹਿਲਾ|ik|pahli|pehli|pehla|pahla,1
੨|ਦੋ|ਦੂਜਾ|ਦੂਜੀ|ਦੂਜੇ|do|dooja|doojhi|dooje,2
੩|ਤਿੰਨ|ਤੀਜਾ|ਤੀਜੀ|ਤੀਜੇ|teen|tin|teeja|teja|teeji|teji|teeje|teje,3
੪|ਚਾਰ|ਚੌਥੀ|ਚੌਥਾ|ਚੌਥੇ|char|chauthi|chautha|choutha|chouthi|chauthe|chouthe,4
੫|ਪੰਜ|ਪੰਜਵੀ|ਪੰਜਵੀਂ|ਪੰਜਵਾਂ|ਪੰਜਵਾ|paanch|panch|paanchvi|panchvi|paanchva|panchva,5
੬|ਛੇ|ਛਹ|ਛੇਵੀਂ|ਛੇਵਾਂ|chhe|che|chhevi|chevi|chhevah|chevah,6
੭|ਸੱਤ|ਸੱਤਵਾਂ|ਸੱਤਵੀਂ|ਸੱਤਵੇ|sat|satt|satva|satvah|satvi|satvi|satve|satveh,7
੮|ਅੱਠ|ਅੱਠਵੀਂ|ਅੱਠਵੀ|ਅੱਠਵਾਂ|ਅੱਠਵਾਂ|ਅੱਠਵੇ|ਅੱਠਵੇ|ath|athh|athva|athvah|athvi|athvi|athve|athveh,8
੯|ਨੌ|ਨਵ|ਨੌਵਾਂ|ਨੌਵਾਂ|ਨੌਵੇ|ਨੌਵੇ|ਨਹਲਾ|ਨਹਲਾ|ਨੌਮੀ|ਨੌਵੀ|ਨੌਵੀ|nau|nav|nauva|navvah|nauve|navveh|nahla|nahla|naumi|naumi|nauvi|nauvi,9
੧੦|ਦਸ|ਦਸਵੀਂ|ਦਸਵੀ|ਦਸਵਾਂ|ਦਸਵਾਂ|ਦਸਵੇ|ਦਸਵੇ|dus|das|dasvi|dasvi|dasva|dasvah|dasve|dasveh,10
੧੧|ਗਿਆਰਾਂ|ਗਿਆਰਾਂ|ਗਿਆਰਵਾਂ|ਗਿਆਰਵਾਂ|ਗਿਆਰਵੇ|ਗਿਆਰਵੇ|gyara|gyara|gyarva|gyarvah|gyarve|gyarveh,11
੧੨|ਬਾਰਾਂ|ਬਾਰਵਾਂ|ਬਾਰਵਾਂ|ਬਾਰਵੀ|ਬਾਰਵੀਂ|ਬਾਰਹਵੀ|ਬਾਰਹਵੀ|bara|bara|barvah|barvah|barvi|barvi|bareh,12
੧੩|ਤੇਰਾਂ|ਤੇਰਾਂ|ਤੇਰਹਵੀ|ਤੇਰਹਵੀਂ|tera|tera|terahvi|terahvi,13
੧੪|ਚੌਦਾਂ|ਚੌਦਾਂ|chaudah|chaudah,14
੧੫|ਪੰਦਰਾਂ|ਪੰਦਰਾਂ|pandrah|pandrah,15
੧੬|ਸੋਲਾਂ|ਸੋਲਾਂ|solah|solah,16
੧੭|ਸਤਾਰਾਂ|ਸਤਾਰਾਂ|satrah|satrah,17
੧੮|ਅਠਾਰਾਂ|ਅਠਾਰਾਂ|atharah|atharah,18
੧੯|ਉੱਨੀ|unni|unni,19
੨੦|ਵੀਹ|vīh|vīh,20
੨੧|ਇਕੱਕੀ|ikkis|ikkis,21
੨੨|ਬਾਈ|bāī|bāī,22
੨੩|ਤੇਈ|teī|teī,23
੨੪|ਚੌਬੀ|chaubī|chaubī,24
੨੫|ਪੱਚੀ|pachchī|pachchī,25
੨੬|ਛੱਬੀ|chhabbī|chhabbī,26
੨੭|ਸਤਾਈ|sattāī|sattāī,27
੨੮|ਅਠਾਈ|athāī|athāī,28
੨੯|ਉੱਤੀ|untī|untī,29
੩੦|ਤੀਹ|tīh|tīh,30
੩੧|ਇਕੱਤੀ|ikkattī|ikkattī,31
੧.੫|ਡੇਢ|ਡੇਢ|dedh|dedh,1.5
੨.੫|ਢਾਈ|ਧਾਈ|dhaī|dhaī,2.5
